Dijkstra;Ford-Bellman;Prim;Kruskal
0.013634;0.039372;0.006481;0.151775
0.009978;0.037217;0.007771;0.182547
0.014912;0.055782;0.013689;0.229429
0.020368;0.081072;0.011363;0.354901
0.020019;0.055095;0.01204;0.308582
0.023145;0.075781;0.008982;0.220659
0.01542;0.054192;0.012525;0.327571
0.01343;0.052024;0.008724;0.197119
0.010584;0.045571;0.006774;0.190309
0.014889;0.057645;0.009058;0.20912
0.013679;0.049257;0.009344;0.185031
0.013394;0.045114;0.007777;0.188355
0.014355;0.047217;0.007837;0.22205
0.016326;0.055907;0.009457;0.283588
0.017247;0.054249;0.009723;0.270653
0.015668;0.049727;0.008486;0.20201
0.0124;0.038396;0.006915;0.162857
0.009996;0.038028;0.006709;0.176364
0.011315;0.046473;0.006598;0.162192
0.011308;0.037553;0.008354;0.154241
0.011088;0.038746;0.006236;0.172771
0.013811;0.049457;0.00627;0.153671
0.011725;0.037904;0.006181;0.158224
0.010808;0.040084;0.006752;0.160681
0.010171;0.036417;0.00614;0.153155
0.010841;0.039058;0.006327;0.158731
0.01009;0.035916;0.006761;0.157145
0.009945;0.041158;0.0067;0.156702
0.01036;0.038799;0.006171;0.159893
0.010553;0.038302;0.006272;0.154856
0.014861;0.039219;0.01045;0.182186
0.011487;0.049081;0.006561;0.162164
0.010309;0.0533;0.006433;0.180926
0.014591;0.051577;0.009836;0.211575
0.015519;0.052799;0.009768;0.213279
0.013482;0.038079;0.006379;0.157224
0.012126;0.055492;0.006661;0.162211
0.011219;0.036503;0.009273;0.152386
0.012999;0.043384;0.00633;0.148892
0.010048;0.037815;0.006543;0.162095
0.012753;0.041728;0.007614;0.198207
0.010389;0.037317;0.006239;0.156697
0.009741;0.035878;0.006246;0.15306
0.010302;0.036111;0.007945;0.226417
0.010224;0.040012;0.008702;0.154998
0.012211;0.048215;0.006688;0.162615
0.00989;0.039817;0.006246;0.168043
0.009767;0.036583;0.006212;0.152537
0.010388;0.037235;0.006239;0.150476
0.013896;0.040003;0.00659;0.169444
0.010746;0.0383;0.006504;0.153976
0.010373;0.036088;0.006487;0.204981
0.012077;0.039941;0.007055;0.15473
0.011267;0.05257;0.006575;0.155855
0.011139;0.036344;0.007605;0.157766
0.010874;0.038844;0.006949;0.154529
0.010456;0.039456;0.006197;0.147716
0.0104;0.03761;0.006267;0.160724
0.012516;0.036675;0.006325;0.152151
0.010672;0.03635;0.006903;0.161355
0.010855;0.037499;0.006203;0.155987
0.01232;0.039523;0.006227;0.170841
0.01129;0.051586;0.006228;0.160642
0.010849;0.035766;0.006277;0.163138
0.017979;0.036343;0.007382;0.161314
0.010137;0.046284;0.006667;0.21526
0.010269;0.036615;0.007514;0.158601
0.012559;0.036997;0.010585;0.189416
0.011223;0.036745;0.00662;0.154007
0.013104;0.038609;0.006687;0.160211
0.011653;0.039371;0.007155;0.15939
0.012178;0.03839;0.012467;0.1881
0.012591;0.039208;0.008583;0.158419
0.012334;0.041274;0.006189;0.15202
0.00992;0.037308;0.006262;0.153951
0.011017;0.037855;0.007257;0.166314
0.011794;0.037837;0.007911;0.153519
0.012285;0.050976;0.008951;0.176948
0.011512;0.035666;0.006637;0.151148
0.015451;0.036946;0.007727;0.150945
0.011779;0.042983;0.009112;0.158531
0.010339;0.038152;0.006217;0.156676
0.010628;0.037499;0.006596;0.17258
0.01023;0.036393;0.006632;0.154052
0.012105;0.035742;0.00687;0.146143
0.009988;0.038081;0.006578;0.155724
0.010273;0.04032;0.015194;0.146941
0.011757;0.036132;0.008076;0.146982
0.01168;0.035853;0.006215;0.15964
0.010607;0.034986;0.007486;0.152916
0.010337;0.039997;0.00763;0.164729
0.012282;0.037215;0.008056;0.148497
0.010136;0.038344;0.008653;0.155966
0.012979;0.039036;0.006278;0.158005
0.010486;0.037391;0.006429;0.15569
0.010948;0.03503;0.006229;0.147075
0.011348;0.037348;0.006561;0.159157
0.010814;0.036109;0.006729;0.148021
0.010223;0.050677;0.007387;0.162614
0.009912;0.037196;0.006251;0.153098
