Dijkstra;Ford-Bellman;Prim;Kruskal
0.002412;0.005961;0.00148;0.012779
0.002687;0.007132;0.001267;0.017283
0.004917;0.008491;0.00127;0.014601
0.002057;0.005861;0.00106;0.012683
0.004491;0.00929;0.001056;0.012609
0.002293;0.006858;0.001041;0.013642
0.002054;0.006351;0.001911;0.022057
0.002248;0.007473;0.001044;0.012289
0.002715;0.007242;0.001385;0.013813
0.003238;0.006279;0.001225;0.012883
0.002996;0.009706;0.001794;0.017401
0.002531;0.006005;0.00108;0.021529
0.004717;0.011038;0.001746;0.013091
0.002258;0.006295;0.001041;0.012075
0.003493;0.009422;0.002702;0.021668
0.002072;0.0061;0.001087;0.013725
0.001987;0.007668;0.001446;0.014492
0.001922;0.006704;0.00103;0.013429
0.00306;0.007553;0.001258;0.014654
0.00355;0.008711;0.001178;0.014118
0.002169;0.006075;0.001049;0.015172
0.002029;0.005774;0.002083;0.018481
0.002516;0.008807;0.00272;0.016614
0.002354;0.009325;0.001196;0.012173
0.002884;0.007534;0.001256;0.015861
0.002395;0.006292;0.001042;0.01407
0.003075;0.006361;0.001098;0.014224
0.002021;0.006515;0.001356;0.013441
0.00242;0.006245;0.001043;0.012617
0.002042;0.009378;0.000996;0.012351
0.002972;0.008031;0.001568;0.017142
0.003829;0.007143;0.004658;0.020123
0.002504;0.00589;0.00105;0.012977
0.002161;0.005964;0.00193;0.017457
0.002346;0.00816;0.001649;0.014819
0.003384;0.007036;0.001135;0.02204
0.002068;0.006884;0.001027;0.013717
0.002677;0.00693;0.001295;0.015415
0.002619;0.006037;0.00112;0.012647
0.003376;0.008764;0.002301;0.016228
0.002332;0.007438;0.001232;0.016664
0.002106;0.006406;0.001079;0.012638
0.002079;0.008897;0.002033;0.01807
0.003077;0.009526;0.001362;0.017324
0.002874;0.008731;0.001561;0.017546
0.003061;0.010161;0.001343;0.016925
0.002491;0.007255;0.001452;0.015585
0.002377;0.008181;0.001801;0.014685
0.003612;0.009343;0.001297;0.01711
0.002593;0.01366;0.001364;0.016845
0.00308;0.007764;0.002044;0.015977
0.003998;0.013207;0.001369;0.020018
0.002549;0.008999;0.001484;0.015318
0.003438;0.014286;0.001534;0.014779
0.002835;0.009144;0.001851;0.016634
0.002493;0.00714;0.00125;0.016342
0.003107;0.008948;0.001264;0.01663
0.002654;0.007238;0.00112;0.013865
0.002365;0.016156;0.002082;0.016016
0.00271;0.006896;0.001292;0.014145
0.003511;0.007811;0.001097;0.01227
0.002334;0.007776;0.001139;0.01399
0.00203;0.006655;0.001043;0.012708
0.002973;0.007199;0.001039;0.012694
0.002751;0.006842;0.001254;0.014896
0.002124;0.006065;0.001033;0.013345
0.002111;0.005877;0.001057;0.012288
0.00246;0.007801;0.001045;0.017822
0.002923;0.005848;0.001708;0.021215
0.002022;0.006182;0.001026;0.012171
0.002329;0.015493;0.002107;0.013991
0.00201;0.00723;0.001029;0.014289
0.002082;0.006707;0.001078;0.013711
0.0026;0.008101;0.00146;0.015212
0.003046;0.00714;0.001487;0.016643
0.002418;0.006524;0.00103;0.014415
0.00242;0.008282;0.001072;0.012711
0.002364;0.007263;0.001038;0.01347
0.004017;0.009263;0.001251;0.015517
0.003854;0.007625;0.001615;0.018483
0.002046;0.005847;0.001034;0.013321
0.002166;0.00643;0.001064;0.013312
0.00299;0.007129;0.001206;0.015298
0.00265;0.007383;0.001832;0.01588
0.002099;0.00847;0.001024;0.022548
0.002322;0.006056;0.001045;0.014614
0.00261;0.00684;0.001028;0.012044
0.005642;0.010326;0.002072;0.020212
0.005337;0.009439;0.001597;0.021633
0.002105;0.006031;0.001817;0.015263
0.003147;0.008786;0.001076;0.013573
0.002454;0.006698;0.001088;0.016024
0.003053;0.010513;0.001083;0.0124
0.003075;0.010006;0.001514;0.020252
0.002613;0.00786;0.001025;0.012436
0.002817;0.007301;0.001255;0.014691
0.003418;0.011642;0.001458;0.018577
0.002028;0.007168;0.00107;0.014065
0.002883;0.012648;0.001236;0.012789
0.002021;0.00669;0.001063;0.016072
