Dijkstra;Ford-Bellman;Prim;Kruskal
0.001594;0.000155;0.000545;0.000878
0.000728;0.000112;0.000533;0.000826
0.00084;0.000131;0.000517;0.001133
0.000932;0.000131;0.000533;0.001011
0.002092;0.000157;0.000539;0.000895
0.001118;0.000133;0.000544;0.00085
0.001119;0.000162;0.00049;0.000772
0.000991;0.000118;0.000528;0.000827
0.000728;0.00011;0.000522;0.000963
0.001007;0.000127;0.001417;0.001132
0.000739;0.000114;0.00049;0.000945
0.001874;0.000142;0.000495;0.000789
0.000947;0.000111;0.000501;0.000773
0.000835;0.000136;0.000723;0.00152
0.002028;0.000156;0.000627;0.000987
0.000885;0.00014;0.00048;0.000764
0.000752;0.000111;0.0005;0.000792
0.001391;0.000233;0.001303;0.00087
0.002032;0.000158;0.000598;0.000954
0.001046;0.000131;0.000596;0.00096
0.001769;0.000306;0.001556;0.000945
0.002201;0.000196;0.000589;0.000941
0.000958;0.000149;0.000587;0.00095
0.000901;0.000135;0.000594;0.000953
0.000898;0.000129;0.000585;0.001753
0.002105;0.000143;0.000634;0.001088
0.001125;0.000187;0.000757;0.000941
0.001307;0.00021;0.000596;0.000939
0.000889;0.000131;0.001414;0.000923
0.001595;0.000118;0.000644;0.000797
0.000952;0.000142;0.000598;0.000943
0.001686;0.000165;0.001553;0.001046
0.003494;0.000227;0.000886;0.001391
0.00129;0.000462;0.00053;0.000838
0.001699;0.000181;0.000574;0.0009
0.00075;0.000112;0.002664;0.001207
0.001033;0.000161;0.000491;0.000789
0.002492;0.000158;0.000657;0.001023
0.002152;0.000233;0.000758;0.001559
0.001443;0.000217;0.000832;0.00127
0.001207;0.000144;0.000542;0.002112
0.003399;0.000306;0.000662;0.000995
0.002007;0.000212;0.000606;0.001208
0.002495;0.000306;0.000747;0.002052
0.001181;0.000498;0.001302;0.002897
0.000995;0.00015;0.00063;0.001005
0.002706;0.000538;0.000901;0.0012
0.001774;0.000341;0.00087;0.001316
0.001249;0.000128;0.001235;0.000788
0.000861;0.000128;0.000661;0.001201
0.001509;0.00011;0.000594;0.00081
0.001156;0.000146;0.00049;0.000795
0.00116;0.00013;0.000492;0.000772
0.000793;0.000119;0.000501;0.001512
0.000751;0.000114;0.001022;0.000789
0.001428;0.000149;0.000639;0.001095
0.001767;0.000118;0.000494;0.001233
0.00297;0.000155;0.000943;0.001758
0.00094;0.000151;0.000546;0.000869
0.001406;0.00025;0.000657;0.001012
0.001827;0.000316;0.000494;0.001537
0.00236;0.000145;0.000724;0.001143
0.001249;0.000132;0.000508;0.000781
0.000794;0.000119;0.000661;0.000788
0.00096;0.000142;0.000628;0.001918
0.002133;0.000125;0.000678;0.000828
0.001198;0.00011;0.000505;0.000795
0.001507;0.00026;0.000782;0.000946
0.002088;0.000129;0.001186;0.002265
0.001006;0.000134;0.000494;0.000784
0.002067;0.000707;0.001105;0.00117
0.002039;0.000121;0.000536;0.00124
0.001318;0.00012;0.000533;0.000964
0.001354;0.000141;0.000705;0.000785
0.002609;0.000231;0.000903;0.001868
0.001895;0.000142;0.000721;0.000907
0.000911;0.000121;0.000506;0.000808
0.00136;0.000246;0.000586;0.000925
0.001207;0.00019;0.000527;0.00243
0.002153;0.000123;0.000545;0.00087
0.00154;0.000112;0.000964;0.000853
0.000856;0.000131;0.001148;0.000762
0.002071;0.000198;0.000496;0.000785
0.001893;0.000147;0.000898;0.001077
0.000901;0.00011;0.000484;0.000771
0.001016;0.000163;0.000603;0.001948
0.002773;0.00015;0.001393;0.001338
0.002709;0.000529;0.001108;0.001558
0.001612;0.00018;0.000858;0.00265
0.003079;0.000145;0.000635;0.001006
0.001164;0.001279;0.000904;0.00119
0.001694;0.000298;0.000498;0.000792
0.001905;0.000228;0.001578;0.000795
0.003763;0.000374;0.001261;0.001785
0.00189;0.000178;0.000785;0.001144
0.0023;0.000298;0.000723;0.002234
0.001986;0.000149;0.000613;0.000981
0.001114;0.000161;0.000693;0.001278
0.000842;0.000136;0.000499;0.001962
0.002663;0.000192;0.000499;0.001214
